preprocessing_variant,K,fold,metric_value
VariantA_mean_minmax,3,1,0.9708792793287648
VariantA_mean_minmax,3,2,0.9463414634146341
VariantA_mean_minmax,3,3,0.9804710578099486
VariantA_mean_minmax,3,4,0.9121951219512195
VariantA_mean_minmax,3,5,0.9607843137254902
VariantA_mean_minmax,5,1,0.8883310969032021
VariantA_mean_minmax,5,2,0.8536724659079828
VariantA_mean_minmax,5,3,0.8682738626667031
VariantA_mean_minmax,5,4,0.8534843205574913
VariantA_mean_minmax,5,5,0.8626128551430208
VariantA_mean_minmax,7,1,0.8883731988766085
VariantA_mean_minmax,7,2,0.8241136535076692
VariantA_mean_minmax,7,3,0.8780313543210213
VariantA_mean_minmax,7,4,0.8146606170936043
VariantA_mean_minmax,7,5,0.8477055743763474
VariantA_mean_minmax,9,1,0.8835171111013488
VariantA_mean_minmax,9,2,0.8681356080108208
VariantA_mean_minmax,9,3,0.877681431192853
VariantA_mean_minmax,9,4,0.8389323186861668
VariantA_mean_minmax,9,5,0.8477055743763474
VariantA_mean_minmax,11,1,0.8640776699029126
VariantA_mean_minmax,11,2,0.8388324097910032
VariantA_mean_minmax,11,3,0.8825067102345664
VariantA_mean_minmax,11,4,0.8390243902439023
VariantA_mean_minmax,11,5,0.8233593851838839
VariantA_mean_minmax,13,1,0.849489711193279
VariantA_mean_minmax,13,2,0.8486939963415505
VariantA_mean_minmax,13,3,0.8778041850283119
VariantA_mean_minmax,13,4,0.8341700258205933
VariantA_mean_minmax,13,5,0.8430768533828626
VariantA_mean_minmax,15,1,0.849489711193279
VariantA_mean_minmax,15,2,0.8292845493619544
VariantA_mean_minmax,15,3,0.8630752591929588
VariantA_mean_minmax,15,4,0.8438503767541965
VariantA_mean_minmax,15,5,0.8428649237472766
VariantB_median_standard,3,1,0.9270898221728162
VariantB_median_standard,3,2,0.9560912875555677
VariantB_median_standard,3,3,0.9853574835169242
VariantB_median_standard,3,4,0.9658129354102127
VariantB_median_standard,3,5,0.9460433794319462
VariantB_median_standard,5,1,0.8446894814684648
VariantB_median_standard,5,2,0.8926982520015605
VariantB_median_standard,5,3,0.8727156027541138
VariantB_median_standard,5,4,0.8922978177150191
VariantB_median_standard,5,5,0.882307640037147
VariantB_median_standard,7,1,0.791286744852098
VariantB_median_standard,7,2,0.8486939963415505
VariantB_median_standard,7,3,0.8581104601837096
VariantB_median_standard,7,4,0.8235318868427326
VariantB_median_standard,7,5,0.8326885880077369
VariantB_median_standard,9,1,0.834795514753906
VariantB_median_standard,9,2,0.8729709719777611
VariantB_median_standard,9,3,0.8727156027541138
VariantB_median_standard,9,4,0.8486939963415505
VariantB_median_standard,9,5,0.8519421355498722
VariantB_median_standard,11,1,0.829731289828577
VariantB_median_standard,11,2,0.8827424356717793
VariantB_median_standard,11,3,0.8629244952736609
VariantB_median_standard,11,4,0.8680285198305768
VariantB_median_standard,11,5,0.8471294032095932
VariantB_median_standard,13,1,0.8346704694775757
VariantB_median_standard,13,2,0.8535329335746152
VariantB_median_standard,13,3,0.8529432390356105
VariantB_median_standard,13,4,0.8096472857200153
VariantB_median_standard,13,5,0.8425304357719876
VariantB_median_standard,15,1,0.8249452029762566
VariantB_median_standard,15,2,0.8438503767541965
VariantB_median_standard,15,3,0.8677377142226497
VariantB_median_standard,15,4,0.8289258590396367
VariantB_median_standard,15,5,0.8425304357719876
